,id,host_since,host_neighbourhood,host_total_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,property_type,room_type,bed_type,square_feet,price,security_deposit,cleaning_fee,availability_365,number_of_reviews,review_scores_value,cancellation_policy,calculated_host_listings_count,geolocation,profile_pic,identity_verified,location_exact,instant_bookable,license_required,guest_pic_required,superhost,guest_phone_verification
7396,2488934,2014-01-31,Malasaña,2.0,Universidad,Centro,28004,40.42603341712979,-3.701720853114682,Apartment,Entire home/apt,Real Bed,,99.0,300.0,30.0,334,77,10.0,moderate,2.0,"40.42603341712979, -3.701720853114682",True,True,True,False,True,False,True,False
7397,7633645,2013-10-27,Malasaña,1.0,Universidad,Centro,28004,40.42285844178027,-3.70399681201902,Apartment,Entire home/apt,Real Bed,,70.0,,,0,2,10.0,flexible,1.0,"40.42285844178027, -3.70399681201902",True,False,True,False,True,False,False,False
7398,2682364,2014-03-31,Malasaña,5.0,Universidad,Centro,28004,40.42284343558989,-3.702516173083689,Apartment,Entire home/apt,Real Bed,,75.0,100.0,20.0,312,53,9.0,strict,5.0,"40.42284343558989, -3.7025161730836893",True,True,True,True,True,False,False,False
7399,9985497,2013-01-05,Justicia,18.0,Universidad,Centro,28015,40.42440350759545,-3.707998399260358,Apartment,Entire home/apt,Real Bed,,80.0,300.0,,260,3,9.0,strict,18.0,"40.42440350759545, -3.707998399260358",True,True,True,False,True,False,False,False
7400,9360828,2015-11-09,Sol,2.0,Universidad,Centro,28013,40.420073384421066,-3.70205667728108,Apartment,Entire home/apt,Pull-out Sofa,,56.0,,,323,63,9.0,flexible,1.0,"40.420073384421066, -3.70205667728108",True,True,True,False,True,False,False,False
7401,14964136,2016-05-08,,2.0,Universidad,Centro,28015,40.42669105741618,-3.7105884260365,Other,Entire home/apt,Real Bed,,150.0,,,219,1,8.0,moderate,2.0,"40.42669105741618, -3.7105884260365",True,False,False,False,True,False,False,False
7402,14929388,2012-07-31,Trafalgar,3.0,Universidad,Centro,28015,40.42811710553271,-3.7060922346731338,Apartment,Entire home/apt,Real Bed,,35.0,92.0,25.0,203,3,9.0,strict,3.0,"40.428117105532706, -3.7060922346731338",True,False,False,False,True,False,False,False
7403,2020279,2012-11-19,Malasaña,23.0,Universidad,Centro,28004,40.423447652726765,-3.704435428630638,Apartment,Entire home/apt,Pull-out Sofa,,70.0,100.0,30.0,297,121,9.0,strict,23.0,"40.423447652726765, -3.704435428630638",True,True,True,True,True,False,False,False
7404,12701224,2015-06-10,Malasaña,2.0,Universidad,Centro,28004,40.42384642347176,-3.702155883937302,Apartment,Entire home/apt,Real Bed,,50.0,150.0,10.0,55,60,9.0,strict,2.0,"40.42384642347176, -3.702155883937302",True,False,True,True,True,False,False,False
7405,8932480,2013-06-22,Malasaña,3.0,Universidad,Centro,28004,40.42670130995668,-3.7026126940355706,Apartment,Entire home/apt,Real Bed,,35.0,,10.0,124,73,9.0,moderate,3.0,"40.42670130995668, -3.7026126940355706",True,True,True,False,True,False,False,False
7406,968871,2012-06-01,Almenara,36.0,Universidad,Centro,28015,40.42878780991225,-3.708233056606563,Apartment,Entire home/apt,Real Bed,,75.0,150.0,,230,14,9.0,moderate,26.0,"40.42878780991225, -3.708233056606563",True,True,True,False,True,False,False,False
7407,17763237,2016-10-17,Malasaña,5.0,Universidad,Centro,28015,40.42459750366814,-3.707833124756633,Apartment,Entire home/apt,Real Bed,,80.0,350.0,,142,2,10.0,moderate,5.0,"40.42459750366814, -3.7078331247566325",True,False,True,False,True,False,True,False
7408,9291683,2015-11-05,Malasaña,1.0,Universidad,Centro,28015,40.42707195747589,-3.7092758344903953,Apartment,Private room,Real Bed,,35.0,,,342,0,,flexible,1.0,"40.42707195747589, -3.7092758344903953",True,True,True,False,True,False,False,False
7409,14895958,2016-09-04,,1.0,Universidad,Centro,28004,40.42712837816061,-3.703508851102333,House,Entire home/apt,Real Bed,,70.0,160.0,20.0,345,5,10.0,moderate,1.0,"40.42712837816061, -3.7035088511023324",True,True,False,True,True,False,False,False
7410,3982671,2014-08-28,Malasaña,1.0,Universidad,Centro,28004,40.424783433926535,-3.703337726016123,Other,Private room,Real Bed,,38.0,,25.0,338,28,9.0,moderate,1.0,"40.424783433926535, -3.703337726016123",True,True,True,True,True,False,False,False
7411,5541728,2012-10-16,,1.0,Acacias,Arganzuela,28005,40.399423697660175,-3.702962247904624,Apartment,Private room,Real Bed,,60.0,,,0,0,,flexible,1.0,"40.399423697660175, -3.702962247904624",True,True,False,False,True,False,False,False
7412,15174470,2015-11-13,,1.0,Acacias,Arganzuela,28005,40.40248214622637,-3.7104812805883154,Apartment,Private room,Real Bed,,25.0,,15.0,353,15,10.0,flexible,1.0,"40.40248214622637, -3.7104812805883154",True,True,False,False,True,False,False,False
7413,16001177,2015-12-04,La Chopera,6.0,Chopera,Arganzuela,28045,40.39362297306131,-3.6966463512414207,House,Entire home/apt,Real Bed,,50.0,200.0,30.0,236,21,10.0,strict,5.0,"40.39362297306131, -3.6966463512414207",True,True,True,True,True,False,False,False
7414,17822488,2012-03-06,,1.0,Chopera,Arganzuela,28045,40.39904136808958,-3.6997373065298857,Apartment,Private room,Real Bed,,21.0,,8.0,121,0,,moderate,1.0,"40.39904136808958, -3.6997373065298857",True,True,False,False,True,False,False,False
7415,7094742,2015-04-18,La Chopera,1.0,Chopera,Arganzuela,28045,40.396633131165736,-3.7008639720512497,House,Entire home/apt,Real Bed,,70.0,,,0,0,,flexible,1.0,"40.396633131165736, -3.7008639720512497",True,True,True,False,True,False,False,False
7416,17034092,2016-10-31,,4.0,Chopera,Arganzuela,28045,40.39420207861329,-3.696229877015551,Apartment,Private room,Real Bed,,23.0,,25.0,364,2,9.0,strict,4.0,"40.39420207861329, -3.696229877015551",True,True,False,True,True,False,True,False
7417,5072820,2012-09-11,Villaverde,3.0,Chopera,Arganzuela,28045,40.39644838357452,-3.699285500960997,Apartment,Entire home/apt,Real Bed,,85.0,150.0,30.0,286,85,10.0,moderate,3.0,"40.39644838357452, -3.6992855009609964",True,True,True,True,True,False,False,False
7418,12878143,2016-04-27,La Chopera,4.0,Chopera,Arganzuela,28045,40.39742356677423,-3.6973590806181416,Apartment,Entire home/apt,Real Bed,,49.0,100.0,25.0,148,19,10.0,strict,4.0,"40.39742356677423, -3.6973590806181416",True,True,True,False,True,False,False,False
7419,11041074,2016-01-15,Delicias,3.0,Delicias,Arganzuela,28045,40.39676350237302,-3.696335606204144,Apartment,Private room,Real Bed,,15.0,,10.0,23,31,9.0,strict,3.0,"40.39676350237302, -3.696335606204144",True,True,True,True,True,False,False,False
7420,15815848,2016-01-15,Delicias,3.0,Delicias,Arganzuela,28045,40.39709395601628,-3.694682121182379,Apartment,Private room,Real Bed,,65.0,,12.0,72,2,8.0,strict,3.0,"40.39709395601628, -3.694682121182379",True,True,True,True,True,False,False,False
7421,12699820,2016-04-26,Delicias,2.0,Delicias,Arganzuela,28045,40.39776945653384,-3.6963297568360503,Apartment,Entire home/apt,Real Bed,,69.0,,10.0,160,7,10.0,flexible,2.0,"40.397769456533844, -3.6963297568360507",True,True,True,False,True,False,False,False
7422,16573945,2016-12-31,,2.0,Delicias,Arganzuela,28045,40.395929418562496,-3.687552065599954,Apartment,Private room,Real Bed,,33.0,,,238,0,,flexible,1.0,"40.395929418562496, -3.687552065599954",True,False,False,False,True,False,False,False
7423,5497809,2013-08-15,Delicias,5.0,Delicias,Arganzuela,28045,40.40065341091021,-3.6974609150277455,Apartment,Entire home/apt,Real Bed,,45.0,,20.0,346,2,9.0,moderate,4.0,"40.40065341091021, -3.6974609150277455",True,False,True,False,True,False,False,False
7425,7073991,2015-06-29,Delicias,1.0,Delicias,Arganzuela,28045,40.39997491102241,-3.696295417252229,Apartment,Entire home/apt,Real Bed,,80.0,,,0,0,,flexible,1.0,"40.39997491102241, -3.6962954172522293",True,False,True,True,True,False,False,False
7426,7521004,2015-07-24,,1.0,Delicias,Arganzuela,28045,40.39545790633571,-3.693160354075232,Apartment,Private room,Real Bed,,23.0,,,364,8,10.0,flexible,1.0,"40.39545790633571, -3.693160354075232",True,False,False,False,True,False,False,False
7427,8109703,2015-08-17,,1.0,Delicias,Arganzuela,28045,40.39559596561251,-3.6934084144808494,Condominium,Private room,Real Bed,,32.0,159.0,5.0,0,2,9.0,flexible,1.0,"40.39559596561251, -3.6934084144808503",True,False,False,False,True,False,False,False
7428,13795499,2013-11-08,Hortaleza,13.0,Delicias,Arganzuela,28012,40.39667835306822,-3.695382847368484,Apartment,Entire home/apt,Real Bed,,70.0,250.0,15.0,321,50,9.0,strict,13.0,"40.39667835306822, -3.6953828473684838",True,True,False,False,True,False,False,False
7429,17527525,2017-03-02,,1.0,Palos de Moguer,Arganzuela,28045,40.40687469719528,-3.693779688627887,House,Entire home/apt,Real Bed,,70.0,96.0,40.0,153,2,10.0,flexible,1.0,"40.40687469719528, -3.693779688627887",True,False,False,False,True,False,False,False
7431,14693251,2013-08-18,Palacio,17.0,Palos de Moguer,Arganzuela,28045,40.40562831417618,-3.691719678706085,Apartment,Entire home/apt,Real Bed,,115.0,100.0,25.0,147,3,10.0,moderate,10.0,"40.40562831417618, -3.691719678706085",True,True,True,False,True,False,False,False
7433,3256148,2012-08-16,Palos do Moguer,1.0,Palos de Moguer,Arganzuela,28045,40.405424713192055,-3.694237048719072,Apartment,Private room,Real Bed,,24.0,,,329,18,10.0,strict,1.0,"40.405424713192055, -3.6942370487190717",True,True,True,False,True,False,False,False
7434,15310318,2016-10-01,,1.0,Palos de Moguer,Arganzuela,28045,40.40142212922415,-3.693284118135224,Other,Private room,Real Bed,,39.0,,8.0,70,12,10.0,moderate,1.0,"40.40142212922415, -3.6932841181352236",True,False,False,False,True,False,True,False
7435,10403923,2013-10-31,Palos do Moguer,1.0,Palos de Moguer,Arganzuela,28045,40.40537978135988,-3.692637642833776,House,Entire home/apt,Real Bed,,95.0,150.0,50.0,150,23,10.0,moderate,1.0,"40.405379781359876, -3.6926376428337755",True,True,True,True,True,False,False,False
7436,9987434,2014-06-01,Palos do Moguer,2.0,Palos de Moguer,Arganzuela,28045,40.40178036115042,-3.6916452461906375,Apartment,Entire home/apt,Real Bed,,65.0,,,38,6,8.0,moderate,2.0,"40.40178036115042, -3.6916452461906375",True,True,False,True,True,False,True,False
7438,8350653,2012-05-08,Aluche,2.0,Puerta del Angel,Latina,28011,40.41096897049137,-3.735793432347466,Apartment,Private room,Real Bed,,25.0,,20.0,302,49,9.0,flexible,2.0,"40.41096897049137, -3.735793432347466",True,True,True,True,True,False,False,False
7439,17525729,2015-12-01,Aluche,2.0,Puerta del Angel,Latina,28011,40.409923542919245,-3.7288759330374015,Apartment,Private room,Real Bed,,11.0,,,139,0,,flexible,2.0,"40.409923542919245, -3.7288759330374015",True,True,True,False,True,False,False,False
7440,13896922,2016-07-07,Ciudad Lineal,3.0,Puerta del Angel,Latina,28011,40.413382647627714,-3.7275243389312265,Apartment,Private room,Real Bed,,25.0,,,357,5,8.0,moderate,3.0,"40.413382647627714, -3.7275243389312265",True,False,False,True,True,False,False,False
7441,13732915,2014-09-18,Aluche,46.0,Puerta del Angel,Latina,28011,40.41438221915595,-3.727245876569528,Loft,Entire home/apt,Real Bed,,48.0,200.0,90.0,249,1,8.0,moderate,44.0,"40.41438221915595, -3.727245876569528",True,True,True,False,True,False,False,False
7442,13540303,2016-04-07,Aluche,2.0,Lucero,Latina,28011,40.40497042930921,-3.748078276774473,Apartment,Private room,Real Bed,,17.0,,5.0,1,0,,flexible,2.0,"40.40497042930921, -3.748078276774473",True,False,True,False,True,False,False,False
